id,type,label,title,url,hub,authority,pagerank,in_degree,out_degree,closeness,betweenness
page:1289817489,page,page:1289817489,"Financial Services Industry 2021: Overview, Outlook & Trends",https://terakeet.com/blog/financial-services-industry/,0.001662446444301856,0.0030052103453658764,0.0030562692688680553,0.008849557522123894,0.004827031375703942,0.34885352268195335,0.001318485322313665
page:1241554823,page,page:1241554823,SEO Knowledge Hub - Terakeet,https://terakeet.com/seo-knowledge-hub/,0.003668029040732072,0.03896807952931071,0.050677193011351804,0.11665325824617859,0.012067578439259855,0.5267357668057401,0.0042884080131107595
kw:1965270596,keyword,kw:1965270596,Knowledge Hub,none,0.0007517827172795187,0.0,0.00012140833670578763,0.0,0.0008045052292839903,0.0,0.0
page:654935239,page,page:654935239,SEO Blog | Insights from 20 years of SEO experience | Terakeet,https://terakeet.com/seo-blog/,0.003758056089592315,0.03896807952931071,0.050677193011351804,0.11665325824617859,0.017699115044247787,0.5267357668057401,0.02536425673415108
kw:1613233789,keyword,kw:1613233789,Blog,none,0.0007517827172795187,0.0,0.00012140833670578763,0.0,0.0008045052292839903,0.0,0.0
page:1262503677,page,page:1262503677,Financial Services Industry Report: Personal Finance Sectors,https://terakeet.com/seo-blog/personal-finance-market-report/,0.0015035654345590373,0.0016891777208939166,0.0014166446856016086,0.008045052292839902,0.0016090104585679806,0.2646214735012826,0.00027011165910742675
kw:2901984038,keyword,kw:2901984038,Download the Report,none,3.2588072913022917e-05,0.0,0.00012140833670578763,0.0,0.0008045052292839903,0.0,0.0
page:2425787759,page,page:2425787759,SEO for Financial Services & Advisors - How to Dominate Search,https://terakeet.com/blog/financial-services-seo/,0.009114201765399654,0.0033883755890847214,0.002598672027923089,0.012872083668543845,0.02815768302493966,0.32254231290161617,0.00110438383651167
kw:852952723,keyword,kw:852952723,"
",none,0.016939222987661613,0.0,0.00012140833670578763,0.0,0.09412711182622686,0.0,0.0
page:3481716072,page,page:3481716072,Scalable Strategic Outreach for Financial Advisors | Terakeet,https://terakeet.com/blog/strategic-outreach-for-financial-advisors/,0.0045931297167705835,0.0013887469795616607,0.0005706636813217658,0.003218020917135961,0.011263073209975865,0.2587434843501012,3.717679386607579e-05
page:1439585941,page,page:1439585941,"What is Digital Transformation? (Drivers, Goals & Examples)",https://terakeet.com/blog/digital-transformation/,0.004589367799270295,0.0017691747766594224,0.006436196834132321,0.006436041834271922,0.012067578439259855,0.3467764248718255,0.0006678414364618391
kw:1155242539,keyword,kw:1155242539,digital transformation strategy,none,3.4131397723590426e-05,0.0,0.00012140833670578763,0.0,0.0008045052292839903,0.0,0.0
